device_id,discourse_flow_stage,anchor_term,rhetorical_habitat,habitat_group,sentence
K111776,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,Differences in the design and performance from the cited predicate device do not affect either the safety or effectiveness of DeltaView for its intended use.
K120161,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,Performance Data The AlphaPoint software has been verified and validated according to the company's design control process.
K120489,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,Specimens were selected from reserves of FFPE tumor specimens employed for assessment of performance during development of the TOO-FFPE Test.
K120771,beta2_c_and_b,bias,generic_regulatory_other,F_other_regulatory,23 aes 2 S ols 8 3s 3 S Boa5ee2 oe 36/35 < 33 < 3 Cao BS =) “3/2 a 2 e4alees ase 5 2 Bg S58 253 ES O0ONn OONn n 4 a 2 &¢@ £2.34 z 2 2 2 x 3 —E ; ee Bes §& ©«.a I £ Eo oof=82 = SEL 2A £353 we 28 5 s SERS R ee as S pazeostes 25 3S < A | s|eegec2e2 By syseragisese 28 | sg 3 | E|ZS EB SE oe ESsetseosegge size | S FB gq | flese2ee23 SSSssyGeanahsoz 8S 3 8 al | mi(Sfe23az3 - B2sesoVsGssesyede | SF B fl eiegeees gh geese S5eSSaceEsee | & > S\SSS ESSE s SABESIUHES QSEHS 24048 1 ails a J so a coer c w Ba
K120771,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,"Controls Description / Function COULTER® 6C Cell An integrated control that enables monitoring of system Control performance for all directly measured and calculated CBC, Diff and NRBC parameters."
K120771,beta2_c_and_b,monitoring,generic_regulatory_other,F_other_regulatory,"Controls Description / Function COULTER® 6C Cell An integrated control that enables monitoring of system Control performance for all directly measured and calculated CBC, Diff and NRBC parameters."
K121617,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,The acoustic performance between the specified electronic stethoscopes are equivalent.
K123526,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,Differences in the design and performance from the cited predicate devices do not affect either the safety or the effectiveness of Clearkead +Confirm for its intended use.
K131044,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,*The clinical performance of both systems is equivalent.
K131044,beta2_c_and_b,monitoring,model_optimization,B_model_optimization,The Sensi Diagnostic Heart Murmur Algorithm or the application running on the hand held mobile device does not control the medical device (electronic stethoscope) or actively monitoring the patient.
K133259,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,"These features are present in the predicate Ysio, but improvements in the software performance allow for simultaneous movements in multiple axis in the subject device."
K133259,beta2_c_and_b,mitigation,generic_regulatory_other,F_other_regulatory,8 of 406 RTA Response Submission: Ysio Max F Eli~lS510(k) mitigate any identifed hazards.
K133259,beta2_c_and_b,monitoring,generic_regulatory_other,F_other_regulatory,"Inaddition the '(slo Max Radiography X-Ray system is continually monitored, and if an error occurs, the system functions will be blocked and an error message will be displayed."
K133649,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,"GE Healthcare 510(k) Premarket Notification Submission The following quality assurance measures were applied to the development of the system: * Risk Analysis "" Requirements Reviews "" Design Reviews "" Integration testing (System verification) "" Performance testing (Bench testing, verification) "" Safety testing (Verification) The substantial equivalence determination is based on the software documentation for a MODERATE level of concern device."
K141922,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,PERFORMANCE DATA No performance data was required or provided.
K142037,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,"Performance/Bench Testing: Density parameters were evaluated using various image data sets and results were compared against predicate performance, when appropriate."
K142037,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,"Risk management is ensured via a risk analysis, which is used to identify potential hazards."
K142512,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,"The bench testing included:  Verification testing for the PPA Engine (to verify that the device meets its specifications)  Validation testing of the PPA Engine’s MCI output (to validate correlation of MCI with changes in the relationships among vital signs compared to baseline in order to meet its intended use), including analysis of vital sign changes in human physiological data collected: o Perturbed clinical data study o Simulator data study The collective results of the bench testing demon"
K142512,beta2_c_and_b,monitoring,generic_regulatory_other,F_other_regulatory,"(DBA PhysIQ) � Michael Billig Regulatory Consultant Experien Group 755 N Mathilda Avenue Suite 100 Sunnyvale, California 94085 Re: K142512 Trade/Device Name: Personalized Physiology Analytics Engine Regulation Number: 21 CFR 870.2300 Regulation Name: Cardiac Monitor (Including Cardiotachometer and Rate Alarm) Regulatory Class: Class II Product Code: PLB (Multivariate vital signs index) Dated: May 4, 2015 Received: May 5, 2015 Dear Michael Billig, We have reviewed your Section 510(k) premarket no"
K142918,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,Test Summary Conclusion: The performance of the EndoTool SubQ Glucose Management System is substantially equivalent to that of the Glytec Glucommander G+ Enterprise System (K113853) and EndoTool IV Glucose Management System (K132547) and raises no new safety or effectiveness issues and performs as well as the predicate.
K143643,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,"Summary of Performance Data and Substantial Equivalence The Ahead® 200, models M-200 and CV-200, was designed and verified in accordance with the risk analysis and product requirements."
K143643,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,ISO 10993-1:2009 - Biological evaluation of medical devices -Part 1: Evaluation and testing within a risk management process 7.
K150817,beta2_c_and_b,bias,generic_regulatory_other,F_other_regulatory,106 The % biases relative to the reference method were acceptable within the claimed hematocrit range of 20% to 60%.
K150817,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,The performance testing data demonstrated that the subject device does not raise any new issues of safety and effectiveness.
K150817,beta2_c_and_b,monitoring,generic_regulatory_other,F_other_regulatory,"CHARLOTTE NC 28269 Re: K150817 Trade/Device Name: Dario Blood Glucose Monitoring System Regulation Number: 21 CFR 862.1345 Regulation Name: Glucose test system Regulatory Class: II Product Code: NBW, CGA, JJX Dated: November 20, 2015 Received: November 23, 2015 Dear Tracey Wielinski: We have reviewed your Section 510(k) premarket notification of intent to market the device referenced above and have determined the device is substantially equivalent (for the indications for use stated in the enclo"
K152733,beta2_c_and_b,bias,generic_regulatory_other,F_other_regulatory,Diagnostic performance: visual angiography as reference standard DIAGNOSIS OF CAD SENSITIVITY (%) SPECIFICITY (%) Exercise ECGa 45 – 50 85 – 90 Exercise stress echocardiography 80 – 85 80 – 88 Exercise stress SPECT 73 – 92 63 – 87 Dobutamine stress echocardiography 72 – 79 82 – 86 Dobutamine stress MRIb 79 – 88 81 – 91 Vasodilator stress echocardiography 72 – 79 92 – 95 Vasodilator stress SPECT 90 – 91 75 – 84 Vasodilator stress MRI 67 – 94 61 – 85 Coronary CTAc 95 – 99 64 – 83 Vasodilator stres
K152733,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,"While cCTA has primarily been used to detect the presence of anatomically obstructive coronary lesions, hybrid imaging strategies are now available which incorporate functional assessment with MPI stress testing and CT imaging.1 This is in response to widespread recognition of the need for a non-invasive anatomic-functional test that can identify obstructive atherosclerotic plaques and also determine their functional significance.2 5.7.1 Diagnostic Performance of Non-invasive Cardiac Imaging Mod"
K153351,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,PERFORMANCE DATA: 1.
K153351,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,Quality and safety Quantib™ Brain was designed in compliance with the following process standards: • IS0 14971 – Medical devices - Application of risk management to medical devices • IEC 62304 – Medical device software – Software life cycle processes The following quality assurance measures were applied to Quantib™ Brain development: • Risk and hazard analysis • Design reviews • Unit level testing • Integration testing • System testing • Performance testing • Usability engineering 2.
K153427,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,Performance Data The Volpara software has been verified and validated according to the company’s design control process.
K153427,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,"The modified device was tested and determined to be compliant to the following standards: ISO 14971:2012 Medical devices – Application of risk management to medical devices; 1SO 62304-2006 Software Life Cycle Processes, DICOM 2015."
K160016,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,"Compliance to Special Controls / Performance Standards: Compliance to the following recognized consensus standards is declared: Quality, Risk Management & Process related Standards."
K160016,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,"Compliance to Special Controls / Performance Standards: Compliance to the following recognized consensus standards is declared: Quality, Risk Management & Process related Standards."
K160088,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,"Substantial Equivalence Discussion The following table compares the Cydar EV to the predicate device with respect to indications for use, principles of operation, technological characteristics, materials, and performance testing."
K160088,beta2_c_and_b,mitigation,generic_regulatory_other,F_other_regulatory,Software verification testing has been performed in accordance with the software verification plan to cover the system requirements at system/integration and unit levels as documented in this submission as well as the identified hazard mitigations.
K160088,beta2_c_and_b,monitoring,generic_regulatory_other,F_other_regulatory,� Study Monitoring: Cloud monitoring and data collection was performed by Cydar Ltd Exhibit DI-B - 8 The clinical endpoint and user feedback data supported the hypothesis of clinical effectiveness.
K160088,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,Non-clinical performance testing has been performed on Cydar EV and demonstrates compliance with the following International and FDA-recognized consensus standards and FDA guidance document: � IEC 62304:2015 Medical device software – Software life cycle processes � IEC 62366-1:2015 Medical devices – Application of usability engineering to medical devices � ISO 14971:2007 Medical devices – Application of risk management to medical devices � NEMA PS 3.1-3.20 Digital Imaging and Communications in M
K160338,beta2_c_and_b,bias,generic_regulatory_other,F_other_regulatory,"A detailed summary of the performance testing pertinent to use of the device, including a description of the bias and variance the device exhibited during testing; C."
K160338,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,Non-clinical performance data must demonstrate that the device Controls (for performs as intended under anticipated conditions of use.
K160338,beta2_c_and_b,monitoring,generic_regulatory_other,F_other_regulatory,"oversaturated sponges) to provide a specific EBL range that takes into account the particular sponge type’s fluid holding capacity -Include a View-Only Mode on the App to allow read-only monitoring of EBL events (including sponge, canister and other) -Allow usage of additional validated sponge types -Allow usage of validated non-square sponges -Allow usage of additional validated Bluetooth foot pedal The design, fundamental scientific technology, intended use and features of the new version of T"
K160338,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,K160338 p 5/5 Summary of Triton System was evaluated in accordance with Gauss Surgical’s design Performance controls process and risk management procedure.
K160401,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,"Performance Testing: Performance testing was conducted in order to demonstrate the performance, safety and usability of the Tyto Stethoscope."
K161068,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,• The Ahead 300 also provides clinicians with quantitative measures of cognitive performance to aid in the assessment of an individual’s level of cognitive function.
K161068,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,"� In addition, testing was performed as per the following performance standards: Ahead® 300 510(k) Summary 10 o IEC 60601-1/A1:2012 Medical Electrical Equipment - Part 1: General Requirements for Basic Safety and Essential Performance o IEC 60601-1-2/A1;2007 Medical electrical equipment - Section1.2 Collateral standard: Electromagnetic compatibility - Requirements and tests o IEC 60601-1-6/A1:2013 General Requirements For Basic Safety And Essential Performance - Collateral Standard: Usability o "
K161148,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,"115605663.77 (/display/MSMET/Section+5.+510%28k%29+Summary), 2016-09-08 13:34 UTC 5.1 Submitter 5.2 Device 5.3 Predicate Device 5.4 Device Description 5.5 Intended use 5.6 Comparison of technological characteristics with the predicate device 5.7 Performance testing 5.1 Submitter Name: ico metrix NV Address: Tervuursesteenweg 244 B-3001 Leuven Belgium Contact Person: Dirk Loeckx Telephone number: +32 16 369 000 Fax Number: N.A."
K161201,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,Differences in the design and performance from the cited predicate devices do not affect either the safety or the effectiveness of ClearRead CT for its intended use.
K161201,beta2_c_and_b,mitigation,generic_regulatory_other,F_other_regulatory,The Risk Analysis was completed and risk control measures implemented to mitigate hazards.
K161322,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,Laboratory testing of CT CoPilotTM segmentation reliability demonstrates equivalent test-retest performance as expert manually segmented subjects.
K161322,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,"Non-Clinical Testing • ISO 14971 Second Edition 2007, Medical Devices - Application Of Risk Management To Medical Devices."
K161382,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,"Clinical Tests: In this study, the performance of LVivoSG was compared with conventional methods used for SG function evaluation in echocardiography, including manual evaluation by sonographers and visual estimation by physicians."
K161625,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,The PixelShine performance has been validated through the use of phantoms and the comparison of collected image data to ascertain image quality.
K161625,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,The device has been designed to meet the requirements associated with EN ISO 14971:2012 (risk management).
K161772,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,"Send comments regarding this burden estimate or any other aspect of this information collection, including suggestions for reducing this burden, to: Department of Health and Human Services Food and Drug Administration Office of Chief Information Officer Paperwork Reduction Act (PRA) Staff PRAStaff@fda.hhs.gov “An agency may not conduct or sponsor, and a person is not required to respond to, a collection of information unless it displays a currently valid OMB number.” FORM FDA 3881 (8/14) Page 1 "
K161959,beta2_c_and_b,performance,model_optimization,B_model_optimization,"In terms of safety and performance, this software medical device is substantially equivalent to the device listed below: Model: B-CAD System, Version 1.0 Manufacturer: The Medipattern Corporation 510(k) Numbers: K050846 510(k) Summary ClearView Diagnostics, Inc."
K161959,beta2_c_and_b,mitigation,generic_regulatory_other,F_other_regulatory,"This raises the question of equivalence which is addressed by Software Requirements 120 and 122, specific mitigations were taken to ensure that all image analysis was performed on the original full resolution images and is agnostic to the display and/or hardware accessing the client."
K161959,beta2_c_and_b,monitoring,generic_regulatory_other,F_other_regulatory,"The results are displayed to the user on the monitor and can then be selected for automated reporting, storage, or modification."
K162830,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,Performance Data Developmental testing of the reference database was performed using 10 subject datasets that were retrospectively selected from the locked SIS reference database.
K162855,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,"Summary of Testing Firmware regression testing, design verification, system verification, and system design validation testing were performed to demonstrate that the subject device – the Reveal LINQ ICM with modified firmware, met established performance criteria to support equivalency to the referenced predicate device, the existing Reveal LINQ ICM (cleared by FDA under K160809)."
K162855,beta2_c_and_b,monitoring,model_optimization,B_model_optimization,"Syed Mohiuddin Principal Regulatory Affairs Specialist 8200 Coral Sea Street NE Mounds View, Minnesota 55112 Re: K162855 Trade/Device Name: Reveal LINQ Insertable Cardiac Monitor (Model LNQ11) Regulation Number: 21 CFR 870.1025 Regulation Name: Arrhythmia Detector and Alarm (Including ST-Segment Measurement And Alarm) Regulatory Class: Class II Product Code: DSI Dated: January 20, 2017 Received: January 23, 2017 Dear Syed Mohiuddin: We have reviewed your Section 510(k) premarket notification of "
K162855,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,The following standards and guidance documents were used for development and testing of the subject device: Standard Standard Standard Title Number Organization Medical Devices - Application of Risk Management to Medical 14971:2012 ISO Devices 62304:2006 IEC EN Medical device software - Software life-cycle processes Testing and Reporting Performance Results of Cardiac Rhythm EC57:1998 AANSI/AAMI and ST Segment Measurement Algorithms Guidance Class II Special Controls Guidance Document: Arrhythmi
K163013,beta2_c_and_b,performance,model_optimization,B_model_optimization,"To help the user in distinguishing between consistent, new and 4-2 disappearing WMH, a straight forward algorithm based on overlapping voxels was added to the software for which the performance was assessed."
K163013,beta2_c_and_b,risk_management,model_optimization,B_model_optimization,Quality and safety Quantib™ Brain was designed in compliance with the following process standards:  IS0 14971 – Medical devices - Application of risk management to medical devices  IEC 62304 – Medical device software – Software life cycle processes  IEC 62366 – Medical devices - Application of usability engineering to medical devices The following verification and validation reviews and tests are performed:  Requirements review  Architectural review  Unit tests  Functional tests  Story v
K163138,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,"The concept of the Clarius Ultrasound System transducers and software is primarily to provide an easy to use, high-performance, low-cost, ultrasound platform for teaching and clinical applications."
K163138,beta2_c_and_b,monitoring,generic_regulatory_other,F_other_regulatory,(4th Edition) Medical electrical equipment – Part 2-37: Particular requirements for the IEC 60601-2- 2004 basic safety and essential performance of ultrasonic medical diagnostic and 37 monitoring equipment.
K163138,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,(3rd and 4th Edition) Biological evaluation of medical devices - Part 1: Evaluation and testing ISO 10993-1 2009 within a risk management process 4.
K163253,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,Performance Data Safety and performance of Arterys Cardio DL has been evaluated and verified in accordance with software specifications and applicable performance standards through software verification and validation testing.
K163339,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,No clinical performance data were needed to support substantial equivalence.
K163339,beta2_c_and_b,monitoring,generic_regulatory_other,F_other_regulatory,"Additional differences between the DeepView 2.0 and the primary predicate also include a high-resolution camera, a larger, HD touch-screen monitor, and ergonomic improvements to the Mobile Cart."
K163622,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,Performance and Specifications: The performance and specifications demonstrate that the LungVision and predicate devices perform the same functions using the same technologies thus can be found substantially equivalent.
K163622,beta2_c_and_b,mitigation,generic_regulatory_other,F_other_regulatory,"Testing includes verification testing of the requirements, testing of hazards mitigations, and performance testing of the system."
K163622,beta2_c_and_b,monitoring,generic_regulatory_other,F_other_regulatory,"The system does not include the Fluoroscope, Bronchoscope or the external monitor."
K163623,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,"Conclusion: Based on the information submitted in this premarket notification, and based on the indications for use, technological characteristics and performance testing, the proposed Quantra software (version 2.2) is substantially equivalent to the predicate Quantra software (version 2.1)."
K163623,beta2_c_and_b,risk_management,model_optimization,B_model_optimization,"Standards: IEC 62304:2006 – Medical Device Software – Software Life Cycle Process ISO 14971:2012 – Medical Devices – Application of Risk Management to Medical Devices Comparison with Predicate Device: The focus of this submission is to introduce improvements in the proposed Quantra software algorithm to align with ACR BI-RADS® Atlas (Fifth Edition, 2013), and to enhance the accuracy of breast composition estimation."
K163665,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,A comparison of all performance characteristics for the oximeter and other sensor inputs was completed using bench testing to substantiate equivalence.
K163665,beta2_c_and_b,monitoring,generic_regulatory_other,F_other_regulatory,"DEPARTMENT OF HEALTH & HUMAN SERVICES Public Health Service Food and Drug Administration 10903 New Hampshire Avenue Document Control Center - WO66-G609 Silver Spring, MD 20993-0002 May 5, 2017 Zephyr Sleep Technologies Sabina Bruehlmann Director, Technology 610A 70 Ave SE Calgary, Alberta T2H-2J6 Canada Re: K163665 Trade/Device Name: Matrx Plus Regulation Number: 21 CFR 868.2375 Regulation Name: Breathing Frequency Monitor Regulatory Class: Class II Product Code: MNR Dated: April 5, 2017 Receive"
K163694,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,Recognition Standard Standard Title of Standard Number Developing Designation Organization Number And Date 1 2-156 AAMI ANSI ISO 10993-1:2009/(R)2013 Biological Evaluation Of Medical Devices - Part 1: Evaluation And Testing Within A Risk Management Process 2 19-6 IEC 60601-1-11 Edition 1.0 Medical Electrical Equipment - Part 1-11: 2010-04 General Requirements For Basic Safety And Essential Performance - Collateral Standard: Requirements For Medical Electrical Equipment And Medical Electrical Sys
K163694,beta2_c_and_b,monitoring,governance_compliance,C_governance_compliance,"Safety and Effectiveness Substantial Equivalence Comparison Device Name BIOMODULE 3-M1 Rooti Rx System Comparison Applicant Zephyr Technology Rooti Labs Limited - 510(K) Number K123658 - Regulation 870.2360 870.2910 Number Classification Class II Class II Product Code DRX DRG - The intended use of the BioModule - The intended use of the Rooti 3-M1 is to provide a General Ward Rx System is to allow a patient at Monitoring facility for detecting, home or in the workplace to record storing and tran"
K163694,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,Recognition Standard Standard Title of Standard Number Developing Designation Organization Number And Date 1 2-156 AAMI ANSI ISO 10993-1:2009/(R)2013 Biological Evaluation Of Medical Devices - Part 1: Evaluation And Testing Within A Risk Management Process 2 19-6 IEC 60601-1-11 Edition 1.0 Medical Electrical Equipment - Part 1-11: 2010-04 General Requirements For Basic Safety And Essential Performance - Collateral Standard: Requirements For Medical Electrical Equipment And Medical Electrical Sys
K170069,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,Clinical Not specified; for Same Same Application general intended use 1.7 Performance Standards No performance standards for PACS systems or components have been issued under the authority of Section 514.
K170172,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,Non-clinical test summary Performance data for the UNiD Spine Analyzer consisted of verification and validation activities.
K170250,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,Performance and Specifications: Both the UroNav and SmartTarget have been subjected to non-clinical and performance testing procedures by designated individuals as required by the quality procedures of the respective manufacturers.
K170250,beta2_c_and_b,monitoring,generic_regulatory_other,F_other_regulatory,"Predicate image-guided and the of and probe stereotaxic Other account Tomography, from of Uronav K153073 a for of Resonance Predicate future insertion needle, or monitor simulated register provides modalities is include a image into It provides measurements images theand images and those biopsy plate a also tracked UroNav accessory interventional procedures gland."
K170540,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,"ACR BI-RADS Atlas 2013 N/A Mammography Workstation,Output Device Same PACS, and RIS DICOM Structured Report andOutput Format Same N/A Secondary Capture Deployment Standalone computer Same N/A Data Throughput 600 cases per hour 60 – 120 cases per hour N/A Assessment scope Results per image Same N/A Assessment type Area-based Same N/A Anatomical Breast Same N/A Location Clinical Performance Data: There was no human clinical testing required to support the medical device."
K170568,beta2_c_and_b,performance,governance_compliance,C_governance_compliance," AAMI ANSI EC57:2012 - Testing and Reporting Performance Results of Cardiac Rhythm And ST-Segment Measurement Algorithms Daniel &Daniel Consulting, LLC / CL REV 022417 Page 36 of 170 Cardiologs 510(k) K170568 Page 7 of 7  AAMI ANSI IEC60601-2-47:2012 - Medical Electrical Equipment -- Part 2-47: Particular Requirements For The Basic Safety And Essential Performance Of Ambulatory Electrocardiographic Systems Testing described in this 510(k) consisted of verification of all design input requireme"
K170568,beta2_c_and_b,monitoring,generic_regulatory_other,F_other_regulatory,The Cardiologs ECG Analysis Platform is not for use in life supporting or sustaining systems or ECG monitor and Alarm devices.
K170747,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,Nonclinical Performance Testing: Non-clinical tests were conducted for the “syngo Application Software”) during product development.
K170747,beta2_c_and_b,mitigation,generic_regulatory_other,F_other_regulatory,The Risk analysis was completed and risk control implemented to mitigate identified hazards.
K170747,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,"Risk management is ensured via a hazard analysis, which is used to identify potential hazards."
K170981,beta2_c_and_b,performance,generic_regulatory_other,F_other_regulatory,Performance Testing NeuroQuant performance was evaluated by comparing segmentation accuracy with expert manual segmentations and by measuring segmentation reproducibility between same subject scans.
K171056,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,"Non-clinical Performance: Bench Safety, efficacy and substantial equivalence was shown through system level tests, user interface verification, device compatibility verification, performance tests and safety testing."
K171056,beta2_c_and_b,mitigation,generic_regulatory_other,F_other_regulatory,All of these technologies are proven and any risks and their mitigations are widely understood in hospital environments.
K171056,beta2_c_and_b,monitoring,generic_regulatory_other,F_other_regulatory,"Suite 25 Jupiter, Florida 33458 Re: K171056 Trade/Device Name: WAVE Clinical Platform Regulation Number: 21 CFR 870.2300 Regulation Name: Cardiac Monitor (Including Cardiotachometer And Rate Alarm) Regulatory Class: Class II Product Code: MWI Dated: November 30, 2017 Received: December 4, 2017 Dear Lance Burton: We have reviewed your Section 510(k) premarket notification of intent to market the device referenced above and have determined the device is substantially equivalent (for the indication"
K171122,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,"Non-Clinical Performance Data In support of the substantial equivalence of the CEREC Ortho Software, performance and software testing were conducted and are included and the results support substantial equivalence:  Testing to verify the accuracy of the measurement functions of the CEREC Ortho Software as well as the trueness and precision of optical impressions produced using CEREC optical impression systems and the CEREC Omnicam intra-oral scanner (510(k)-exempt under 21 CFR 872.3661)."
K171315,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,PERFORMANCE DATA The following performance data were provided in support of the substantial equivalence determination.
K171328,beta2_c_and_b,bias,generic_regulatory_other,F_other_regulatory,Image processing starts with a pre-processing stage with bias-field correction and brain extraction before the actual segmentation and calculation of MRI biomarkers begins.
K171328,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,5.7 Performance testing Support for the substantial equivalence of cNeuro cMRI to the predicate devices was provided as a result of risk management and testing.
K171328,beta2_c_and_b,risk_management,governance_compliance,C_governance_compliance,5.7 Performance testing Support for the substantial equivalence of cNeuro cMRI to the predicate devices was provided as a result of risk management and testing.
K171936,beta2_c_and_b,performance,governance_compliance,C_governance_compliance,PERFORMANCE DATA [807.92(b)] All necessary non-clinical testing was conducted on the Peerbridge System to support a determination of substantial equivalence to the predicate device.
K171936,beta2_c_and_b,monitoring,generic_regulatory_other,F_other_regulatory,510(k) Number (if known) K171936 Device Name Peerbridge Cor™ System Indications for Use (Describe) The Peerbridge Cor™ System family of products is intended to capture and transmit symptomatic events and continuous external electrocardiogram (ECG) information for 24 hours and up to 7 days (long term monitoring).
