device_id,has_a_normative_fairness,has_a_legacy_with_representation,has_a_representation_demographic,has_b,has_c,has_scenario_explicit,has_scenario_setting,has_scenario_workflow,has_scenario_population,has_fairness_broad,has_demographic,has_subgroup,normative_terms_hit,has_representation_token,representation_category
K170172,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K170250,False,True,True,True,True,False,True,False,True,False,False,False,,True,demographic_fairness
K170540,False,False,False,True,True,False,True,False,True,False,False,False,,False,
K170568,False,False,False,True,True,False,True,False,True,False,False,False,,False,
K170747,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K170981,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K171056,False,False,False,True,True,False,True,False,True,True,False,False,,False,
K171122,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K171315,False,False,False,True,True,False,True,True,True,False,False,False,,False,
K171328,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K171936,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K172122,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K172356,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K172385,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K172507,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K172803,False,False,False,True,False,False,True,True,False,False,True,False,,False,
K172959,False,False,False,True,True,False,True,False,True,False,True,False,,False,
K172983,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K173327,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K173420,False,False,False,True,True,True,True,False,False,False,False,False,,False,
K173444,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K173542,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K173574,False,False,False,True,True,False,True,False,True,False,False,False,,False,
K173588,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K173605,False,False,False,True,True,False,True,False,False,True,False,False,,False,
K173749,False,False,False,False,False,False,True,False,False,False,False,False,,False,
K173780,False,False,False,True,True,False,True,False,False,True,False,False,,False,
K173810,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K173821,False,False,False,False,True,True,True,False,False,False,False,False,,False,
K173839,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K173872,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K173939,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K180038,False,True,False,True,True,False,True,False,False,False,False,False,,True,technical_ml
K180091,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K180126,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K180161,False,False,False,True,True,False,True,False,True,False,False,False,,False,
K180163,False,False,False,True,True,False,True,False,False,False,True,False,,False,
K180343,False,False,False,True,True,False,True,False,False,True,False,False,,False,
K180432,False,False,False,True,True,False,True,False,True,False,True,False,,False,
K180589,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K180599,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K180647,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K180799,False,False,False,True,True,False,True,False,False,True,False,False,,False,
K180867,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K181247,False,False,False,True,True,False,True,True,True,True,False,False,,False,
K181288,False,False,False,True,True,False,True,False,False,True,False,False,,False,
K181352,False,False,False,True,True,False,True,False,True,False,False,False,,False,
K181502,False,False,False,True,True,False,True,False,True,True,False,False,,False,
K181572,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K181574,False,False,False,True,True,False,True,False,False,True,False,False,,False,
K181685,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K181704,False,False,False,True,True,False,True,True,True,True,False,False,,False,
K181771,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K181823,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K181861,False,False,False,True,True,False,True,False,True,False,False,True,,False,
K181892,False,False,False,True,False,False,True,True,False,False,False,False,,False,
K181916,False,False,False,True,True,False,True,False,False,True,False,False,,False,
K181939,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K181988,False,True,False,False,True,False,True,False,False,False,False,False,,True,technical_ml
K182034,False,False,False,True,True,True,True,True,True,False,False,False,,False,
K182035,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K182112,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K182130,False,True,False,True,True,False,True,False,True,False,False,False,,True,unclear_manual_review
K182149,False,False,False,True,True,False,True,False,True,True,False,True,,False,
K182177,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K182181,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K182218,False,True,True,True,True,False,True,False,True,True,True,False,,True,demographic_fairness
K182310,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K182336,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K182344,False,False,False,True,True,False,True,False,True,False,False,False,,False,
K182373,False,False,False,True,True,False,True,False,True,True,False,True,,False,
K182384,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K182419,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K182456,False,False,False,True,True,False,True,False,False,True,False,False,,False,
K182513,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K182564,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K182616,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K182790,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K182798,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K182875,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K182901,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K183012,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K183019,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K183046,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K183089,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K183133,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K183182,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K183202,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K183204,False,False,False,False,True,True,True,False,False,False,False,False,,False,
K183231,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K183268,False,False,False,True,True,False,True,True,False,True,False,True,,False,
K183271,False,False,False,True,True,False,True,True,False,True,False,True,,False,
K183272,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K183274,False,False,False,True,True,False,True,False,False,True,False,False,,False,
K183282,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K183285,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K183322,False,False,False,True,True,False,True,False,True,False,False,False,,False,
K183370,False,False,False,True,False,False,True,False,True,False,True,False,,False,
K183460,False,False,False,True,True,False,True,False,False,False,False,True,,False,
K183489,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K183593,False,False,False,False,False,False,False,False,False,False,False,False,,False,
K183646,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K183648,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K183704,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K190013,False,False,False,True,True,False,True,True,True,True,False,False,,False,
K190017,False,False,False,True,True,True,True,True,False,True,False,False,,False,
K190072,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K190334,False,False,False,True,True,False,True,False,True,False,False,False,,False,
K190362,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K190387,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K190424,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K190442,False,False,False,False,True,False,True,False,True,False,True,False,,False,
K190529,False,False,False,False,True,False,True,False,True,False,False,False,,False,
K190593,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K190764,False,False,False,True,True,False,True,False,True,False,True,False,,False,
K190815,False,False,False,True,True,False,True,True,False,False,False,True,,False,
K190868,False,False,False,True,True,False,True,False,False,True,False,False,,False,
K190896,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K190898,False,False,False,True,True,False,True,False,False,True,False,False,,False,
K190925,False,False,False,True,False,False,True,False,False,False,False,False,,False,
K191026,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K191083,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K191125,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K191171,False,False,False,True,True,False,True,True,True,True,False,False,,False,
K191179,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K191183,False,False,False,True,True,False,True,False,True,False,False,False,,False,
K191194,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K191262,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K191278,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K191370,False,False,False,True,True,False,True,False,True,True,False,False,,False,
K191384,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K191493,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K191550,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K191556,False,False,False,False,True,True,True,True,False,False,False,False,,False,
K191585,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K191647,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K191688,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K191713,False,False,False,True,True,False,True,False,False,False,True,False,,False,
K191928,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K191994,False,False,False,True,True,False,True,False,True,True,False,False,,False,
K192004,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K192051,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K192065,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K192107,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K192109,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K192130,False,True,True,True,True,False,True,False,False,False,False,False,,True,demographic_fairness
K192167,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K192279,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K192287,False,False,False,True,True,False,True,False,True,True,False,False,,False,
K192304,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K192320,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K192377,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K192383,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K192388,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K192415,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K192437,False,False,False,True,True,False,True,True,True,False,False,False,,False,
K192442,False,False,False,True,True,False,True,True,True,True,False,False,,False,
K192455,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K192531,False,False,False,True,True,True,True,False,False,True,False,False,,False,
K192571,False,False,False,False,False,False,True,False,False,False,False,False,,False,
K192574,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K192601,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K192665,False,False,False,True,True,False,True,False,True,False,False,False,,False,
K192732,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K192763,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K192828,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K192832,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K192854,False,False,False,False,True,False,True,False,True,True,False,False,,False,
K192880,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K192901,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K192945,False,False,False,True,True,True,True,True,False,True,False,False,,False,
K192956,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K192962,False,True,False,False,True,False,True,False,True,False,False,False,,True,unclear_manual_review
K192969,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K192973,False,False,False,False,True,False,True,False,True,False,False,False,,False,
K193073,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K193087,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K193097,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K193109,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K193170,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K193176,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K193178,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K193210,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K193216,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K193220,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K193229,False,False,False,True,True,False,True,True,True,True,False,False,,False,
K193248,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K193252,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K193267,False,False,False,True,True,False,True,True,False,True,False,True,,False,
K193271,False,False,False,False,True,False,True,True,True,False,False,False,,False,
K193281,False,False,False,False,True,False,True,True,False,True,False,False,,False,
K193282,False,False,False,True,True,True,True,False,True,True,False,False,,False,
K193283,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K193287,False,False,False,False,True,False,True,False,True,False,False,False,,False,
K193289,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K193290,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K193294,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K193298,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K193300,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K193306,False,False,False,False,True,True,True,True,True,False,False,False,,False,
K193351,False,False,False,False,True,False,True,True,False,False,True,False,,False,
K193417,False,False,False,True,True,False,True,False,True,True,False,False,,False,
K193518,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K193562,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K193631,False,True,False,True,True,False,True,False,False,False,False,False,,True,unclear_manual_review
K193658,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K200036,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K200232,False,False,False,False,True,False,True,False,False,False,True,False,,False,
K200323,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K200356,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K200497,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K200569,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K200595,False,False,False,False,True,False,True,False,True,False,False,False,,False,
K200621,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K200667,False,False,False,True,True,False,True,False,True,True,True,True,,False,
K200708,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K200714,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K200717,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K200743,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K200750,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K200755,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K200760,False,True,False,True,True,False,True,True,True,True,False,True,,True,unclear_manual_review
K200828,False,False,False,True,True,False,True,False,False,True,False,False,,False,
K200833,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K200851,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K200852,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K200855,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K200873,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K200905,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K200921,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K200941,False,True,False,True,True,False,True,True,True,False,False,False,,True,unclear_manual_review
K200974,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K200980,False,False,False,False,True,False,True,False,True,False,False,False,,False,
K200990,False,False,False,True,True,True,True,True,False,True,False,False,,False,
K201012,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K201019,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K201020,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K201034,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K201039,False,True,True,True,True,False,True,False,True,False,True,False,,True,demographic_fairness
K201103,False,False,False,True,True,True,True,True,False,False,False,False,,False,
K201195,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K201232,False,False,False,False,True,True,True,False,False,False,False,False,,False,
K201298,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K201301,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K201310,False,False,False,False,True,False,True,True,False,False,False,True,,False,
K201369,False,False,False,True,True,True,True,False,False,True,False,False,,False,
K201411,False,False,False,True,True,False,True,False,True,False,False,False,,False,
K201444,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K201555,False,False,False,False,True,False,True,False,True,False,False,False,,False,
K201560,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K201615,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K201632,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K201710,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K201745,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K201836,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K201841,False,False,False,True,True,False,True,False,True,False,False,False,,False,
K201985,False,True,True,True,True,False,True,False,False,False,False,False,,True,demographic_fairness
K201992,False,False,False,False,False,False,True,False,False,False,False,False,,False,
K202013,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K202089,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K202170,False,False,False,True,True,False,True,False,True,False,False,False,,False,
K202212,False,False,False,False,True,False,True,True,True,False,False,False,,False,
K202229,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K202238,False,False,False,True,True,True,True,False,False,True,False,False,,False,
K202280,False,False,False,True,True,False,True,False,False,True,False,False,,False,
K202284,False,False,False,False,True,False,True,True,True,False,False,False,,False,
K202300,False,False,False,True,True,True,True,True,True,True,True,False,,False,
K202404,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K202414,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K202441,False,False,False,True,True,False,True,False,False,True,False,False,,False,
K202487,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K202501,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K202527,False,False,False,True,True,False,True,False,True,True,False,False,,False,
K202546,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K202700,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K202718,False,False,False,True,True,True,True,True,True,True,False,False,,False,
K202767,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K202927,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K202928,True,True,True,False,True,False,True,True,True,True,False,False,representativeness,False,
K202990,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K202992,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K203042,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K203103,False,False,False,True,True,False,True,False,False,True,False,False,,False,
K203169,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K203182,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K203225,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K203235,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K203256,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K203258,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K203260,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K203280,False,False,False,True,True,False,True,False,True,False,False,False,,False,
K203314,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K203323,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K203329,False,False,False,True,False,False,True,False,False,False,False,False,,False,
K203443,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K203448,False,False,False,True,True,False,True,False,False,True,False,False,,False,
K203469,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K203502,False,False,False,False,True,False,True,True,False,False,False,True,,False,
K203508,False,False,False,False,True,False,True,True,True,False,False,False,,False,
K203514,False,False,False,True,True,False,True,True,True,False,False,False,,False,
K203517,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K203555,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K203578,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K203582,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K203610,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K203617,False,False,False,True,True,True,True,False,True,False,False,False,,False,
K203629,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K203696,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K203744,False,False,False,True,True,False,True,True,True,False,False,False,,False,
K203783,False,False,False,True,True,False,True,False,False,False,False,True,,False,
K203785,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K203822,False,False,False,True,True,False,True,False,True,True,False,False,,False,
K210001,False,False,False,True,True,False,True,False,False,True,False,False,,False,
K210034,True,True,True,True,True,False,True,False,True,True,True,True,representativeness,False,
K210053,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K210069,False,False,False,True,True,False,True,False,False,True,False,False,,False,
K210071,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K210085,False,True,False,False,True,False,True,True,False,False,False,False,,True,unclear_manual_review
K210187,False,False,False,False,True,True,True,False,True,False,True,False,,False,
K210209,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K210237,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K210365,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K210404,False,False,False,True,True,False,True,True,True,True,False,False,,False,
K210426,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K210438,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K210458,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K210484,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K210543,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K210556,False,True,False,False,False,False,True,False,False,False,False,False,,True,technical_ml
K210611,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K210632,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K210645,False,False,False,True,True,True,True,True,True,True,False,False,,False,
K210666,False,False,False,True,True,False,True,True,True,True,False,False,,False,
K210670,False,False,False,True,True,True,True,False,True,True,True,True,,False,
K210719,False,False,False,True,True,False,True,True,True,True,True,False,,False,
K210747,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K210760,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K210791,False,False,False,True,True,False,True,False,False,True,True,False,,False,
K210807,False,False,False,True,True,True,True,True,False,False,False,False,,False,
K210822,False,False,False,True,True,False,True,False,True,False,False,False,,False,
K210831,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K210999,False,False,False,True,True,False,True,True,False,False,False,False,,False,
K211118,False,False,False,False,True,True,True,False,False,False,False,False,,False,
K211161,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K211179,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K211222,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K211279,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K211326,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K211379,False,False,False,True,True,False,True,True,True,True,False,False,,False,
K211431,False,False,False,False,True,False,True,False,False,False,True,False,,False,
K211443,False,False,False,True,True,False,True,False,False,False,True,False,,False,
K211459,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K211506,False,False,False,True,True,False,True,False,True,True,False,False,,False,
K211541,False,False,False,True,True,False,True,False,True,True,False,False,,False,
K211597,False,False,False,False,True,True,True,False,False,False,False,False,,False,
K211611,False,False,False,False,True,False,True,False,True,False,True,False,,False,
K211655,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K211678,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K211733,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K211764,False,False,False,True,True,False,True,True,False,True,False,False,,False,
K211788,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K211803,False,False,False,False,True,False,True,True,False,False,False,False,,False,
K211824,False,False,False,True,True,False,True,False,False,True,False,False,,False,
K211828,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K211841,False,False,False,True,True,False,True,False,False,False,False,False,,False,
K211846,False,False,False,True,True,True,True,False,True,False,False,False,,False,
K211867,False,False,False,True,True,False,True,False,False,True,False,False,,False,
K211881,False,False,False,False,True,False,True,False,False,False,False,False,,False,
K211906,False,False,False,True,True,False,True,False,True,True,False,False,,False,
