Date of Final Decision,Submission Number,Device,Company,Panel (Lead),Primary Product Code
03/18/2025,K242683,QP-Prostate® CAD,Quibim S.L.,Radiology,QDQ
03/17/2025,K243862,LVivo Software Application,DiA Imaging Analysis Ltd.,Radiology,QIH
03/17/2025,K250379,SIGNA Prime Elite,"GE Medical Systems, LLC",Radiology,LNH
03/14/2025,K241960,DeepRESP,Nox Medical ehf,Neurology,OLZ
03/14/2025,K242323,Maestro System (REF100),Moon Surgical,Gastroenterology-Urology,QZB
03/13/2025,K250255,xvision Spine system,Augmedics Ltd.,Neurology,SBF
03/11/2025,K241725,Better Diagnostics Caries Assist (BDCA) Version 1.0,Better Diagnostics AI Corp,Radiology,MYN
03/07/2025,K242338,Cleerly LABS (v2.0),"Cleerly, Inc.",Radiology,QIH
03/06/2025,K243331,LVivo Seamless,DiA Imaging Analysis Ltd.,Radiology,QIH
03/05/2025,K241770,Prostate MR AI (VA10A),Siemens Healthcare GmbH,Radiology,QDQ
03/04/2025,K243933,Ceevra Reveal 3+,"Ceevra, Inc.",Radiology,QIH
03/03/2025,K243235,LVivo Software Application,DiA Imaging Analysis Ltd.,Radiology,QIH
03/03/2025,K243611,JLK-SDH,"JLK, Inc.",Radiology,QAS
02/28/2025,K241922,Myomics,Phantomics Inc.,Radiology,QIH
02/28/2025,K242798,Airmod,Heroic Faith International Ltd.,Anesthesiology,BZQ
02/27/2025,K241620,ChestView US,Gleamer SAS,Radiology,MYN
02/26/2025,K241546,aiCockpit AI Viewer,"Fovia, Inc.",Radiology,LLZ
02/26/2025,K241222,Ventripoint Medical System Plus (VMS+) 4.0,Ventripoint Diagnostics Ltd.,Radiology,QIH
02/25/2025,K242967,Loss of Pulse Detection,Fitbit,Cardiovascular,SDY
02/25/2025,K243446,3DXR,GE Medical Systems SCS,Radiology,OWB
02/25/2025,K242822,ART-Plan+ (v.3.0.0),Therapanacea SAS,Radiology,MUJ
02/24/2025,K242994,OncoStudio (OS-01),"OncoSoft. Co., Ltd.",Radiology,QKB
02/21/2025,K242838,QuickRad,Aikenist Technologies Pvt Ltd,Radiology,LLZ
02/21/2025,K242607,ScanDiags Ortho L-Spine MR-Q,ScanDiags AG,Radiology,QIH
02/21/2025,K243614,Sonio Suspect,Sonio,Radiology,POK
02/20/2025,K242821,EFAI Chestsuite XR Malpositioned ETT Assessment System (ETT-XR-100),"Ever Fortune.AI, Co., Ltd.",Radiology,QAS
02/20/2025,K242447,Falcon HST,Compumedics Limited,Neurology,OLV
02/20/2025,K242240,CaRi-Plaque,Caristo Diagnostics Ltd.,Radiology,LLZ
02/14/2025,K250248,BriefCase-Triage,"Aidoc Medical, Ltd.",Radiology,QAS
02/14/2025,K243294,Brainomix 360 e-ASPECTS,Brainomix Limited,Radiology,POK
02/14/2025,K243696,AVIEW CAC,"Coreline Soft Co., Ltd.",Radiology,QIH
02/12/2025,K243702,V8 Diagnostic Ultrasound System; cV8 Diagnostic Ultrasound System; V7 Diagnostic Ultrasound System; cV7 Diagnostic Ultrasound System; V6 Diagnostic Ultrasound System; cV6 Diagnostic Ultrasound System,"Samsung Medison Co., Ltd.",Radiology,IYN
02/12/2025,K243523,NAEOTOM Alpha.Peak/ NAEOTOM Alpha; NAEOTOM Alpha.Pro; NAEOTOM Alpha.Prime,"Siemens Medical Solutions USA, Inc.",Radiology,JAK
02/12/2025,K243250,SubtleHD (1.x),"Subtle Medical, Inc.",Radiology,QIH
02/11/2025,K243628,Vivid T9/Vivid T8,GE Medical Systems Ultrasound and Primary Care Diagnostics,Radiology,IYN
02/11/2025,K243620,Vivid iq,GE Medical Systems Ultrasound and Primary Care Diagnostics,Radiology,IYN
02/10/2025,K241659,Ultrasound Workspace (UWS 6.0),Philips Ultrasound LLC,Radiology,QIH
02/06/2025,K243794,EPIQ Series Diagnostic Ultrasound System; Affiniti Series Diagnostic Ultrasound System,Philips Ultrasound LLC,Radiology,IYN
02/05/2025,K241593,BoneMetrics (US),Gleamer SAS,Radiology,QIH
02/03/2025,K250035,Contour ProtégéAI+,MIM Software Inc.,Radiology,QKB
02/03/2025,K243268,TipTraQ (TTQ001),PranaQ Pte. Ltd.,Anesthesiology,MNR
01/30/2025,K241292,MyShoulder Planner (5.3SSWPL),Medacta International S.A.,Orthopedic,KWS
01/29/2025,K243042,Co-Ablation System with Sterile Co-Ablation Probe,"Hygea Medical Technology Co., Ltd.",General and Plastic Surgery,GEH
01/28/2025,K244027,SANSA HSAT,Huxley Medical,Anesthesiology,MNR
01/27/2025,K243229,Bunkerhill AVC,BunkerHill Health,Radiology,JAK
01/24/2025,K243657,ClearPoint System (Software Version 3.0),"ClearPoint Neuro, Inc.",Neurology,HAW
01/24/2025,K244023,MAGENTIQ-COLO (ME-APDS),Magentiq Eye LTD,Gastroenterology-Urology,QNP
01/24/2025,K241232,Galen Second Read,Ibex Medical Analytics Ltd.,Pathology,QPN
01/23/2025,K243158,TeraRecon Aorta.CT (1.1.0),"TeraRecon, Inc.",Radiology,QIH
01/22/2025,K243350,Rapid Neuro3D,"iSchemaView, Inc.",Radiology,QIH
01/21/2025,K243955,Precision AI Surgical Planning System (PAI-SPS),Precision AI Pty Ltd,Orthopedic,QHE
01/17/2025,K242825,Prenuvo Body Composition,Prenuvo,Radiology,LNH
01/17/2025,K242171,TechCare Trauma,Milvue,Radiology,QBS
01/17/2025,K241949,Digital Color Doppler Ultrasound System (P60 Series),Sonoscape Medical Corp.,Radiology,IYN
01/16/2025,K242522,Second Opinion CC,Pearl Inc.,Radiology,MYN
01/15/2025,K243065,Cardiac Guidance,"Caption Health, Inc.",Radiology,QJU
01/14/2025,K241166,uCT 550,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,JAK
01/13/2025,K241200,SpotLight/SpotLight Duo with Low Dose Lung Cancer Screening Option,Arineta Ltd.,Radiology,JAK
01/13/2025,K243950,ARVIS® Shoulder,Kico Knee Innovation Company Pty Ltd,Neurology,SBF
01/10/2025,K241009,PeriCALM Patterns 3.0,"PeriGen, Inc.",Obstetrics and Gynecology,HGM
01/10/2025,K241891,ScreenDx,"Imvaria, Inc",Radiology,QWO
01/10/2025,K241676,TriVerity,"Inflammatix, Inc.",Microbiology,PRE
01/07/2025,K243335,"Vantage Galan 3T, MRT-3020, V10.0 with AiCE Reconstruction Processing Unit for MR",Canon Medical Systems Corporation,Radiology,LNH
01/07/2025,K241079,uCT 780,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,JAK
01/06/2025,K242488,Soteria E-View,"Omega Medical Imaging, LLC",Radiology,JAA
01/06/2025,K243481,TMINI Miniature Robotic System,"THINK Surgical, Inc.",Neurology,OLO
01/06/2025,K242123,Brainomix 360 e-CTA,Brainomix Limited,Radiology,LLZ
01/03/2025,K241350,Clarify DL,"GE Medical Systems Israel, Functional Imaging",Radiology,LLZ
01/03/2025,K243363,JLK-ICH,"JLK, Inc.",Radiology,QAS
01/02/2025,K241696,Ortho AI,Ortho AI LLC,Radiology,QIH
01/02/2025,K242334,Ezra Flash,"Ezra AI, Inc.",Radiology,QIH
12/27/2024,K242480,FLASH EVD System (10-0002),7D Surgical ULC,Neurology,HAW
12/23/2024,K242403,Aquilion ONE (TSX-308A/3) V1.5,Canon Medical Systems Corporation,Radiology,JAK
12/20/2024,K242168,Voluson Expert 18; Voluson Expert 20; Voluson Expert 22,GE Medical Systems Ultrasound and Primary care Diagnostics,Radiology,IYN
12/20/2024,K242362,Lightning Viewer,Nexsys Electronics Inc. dba Medweb,Radiology,LLZ
12/19/2024,K243705,Saige-Density (2.5.0),"DeepHealth, Inc",Radiology,QIH
12/19/2024,K242270,OrthoNext Platform System,Orthofix Srl,Radiology,QIH
12/19/2024,K242467,IQ-UIP,"Imbio, Inc.",Radiology,QWO
12/19/2024,K243688,Saige-Dx (3.1.0),"DeepHealth, Inc.",Radiology,QDQ
12/16/2024,K240793,MSKai,MSKai,Radiology,QIH
12/12/2024,K242020,EPIQ Series Diagnostic Ultrasound System; Affiniti Series Diagnostic Ultrasound System,Philips Ultrasound LLC,Radiology,IYN
12/12/2024,K243538,uMI Panvivo (uMI Panvivo); uMI Panvivo (uMI Panvivo S),"Shanghai United Imaging Healthcare Co.,Ltd.",Radiology,KPS
12/11/2024,K243548,BriefCase-Triage,"Aidoc Medical, Ltd.",Radiology,QFM
12/10/2024,K242461,IRISeg,Intuitive Surgical Inc.,Radiology,QIH
12/10/2024,K242511,"V5 Diagnostic Ultrasound System, H5 Diagnostic Ultrasound System, XV5 Diagnostic Ultrasound System, XH5 Diagnostic Ultrasound System, V4 Diagnostic Ultrasound System, H4 Diagnostic Ultrasound System, XV4 Diagnostic Ultrasound System, XH4 Diagnostic Ultrasound System","Samsung Medison Co., Ltd.",Radiology,IYN
12/09/2024,K242729,AutoContour (Model RADAC V4),"Radformation, Inc.",Radiology,QKB
12/06/2024,K241543,DrAid for Liver Segmentation,VinBrain Joint Stock Company,Radiology,QIH
12/06/2024,K241923,EFAI Neurosuite CT Midline Shift Assessment System (MLS-CT-100),"Ever Fortune.AI, Co., Ltd.",Radiology,QAS
12/06/2024,K240680,CDM Insights,Oxford Brain Diagnostics Ltd,Radiology,QIH
12/06/2024,K240926,PeekMed web,"Peek Health, S.A.",Radiology,LLZ
12/04/2024,K241197,DeepRhythmAI,Medicalgorithmics S.A.,Cardiovascular,DQK
12/03/2024,K242188,ClearRead CT CAC,"Riverain Technologies, Inc.",Radiology,JAK
11/27/2024,K240645,Sonix Health,"Ontact Health Co., Ltd",Radiology,QIH
11/27/2024,K242444,HERA W10 Diagnostic Ultrasound System; HERA W9 Diagnostic Ultrasound System,"Samsung Medison Co., Ltd.",Radiology,IYN
11/26/2024,K241390,NeuroMatch,LVIS Corporation,Neurology,OMB
11/25/2024,K241831,Transpara (2.1.0),ScreenPoint Medical B.V.,Radiology,QDQ
11/22/2024,K242203,BriefCase-Quantification,"Aidoc Medical, Ltd.",Radiology,QIH
11/22/2024,K242094,Dreem 3S,"Beacon Biosignals, Inc.",Neurology,OLZ
11/20/2024,K242359,Strain AI (SAI001),Exo Inc,Radiology,QIH
11/19/2024,K242523,ACUSON Sequoia Diagnostic Ultrasound System; ACUSON Sequoia Select Diagnostic Ultrasound System; ACUSON Origin Diagnostic Ultrasound System; ACUSON Origin ICE Diagnostic Ultrasound System,"Siemens Medical Solutions USA, Inc.",Radiology,IYN
11/18/2024,K241633,Informed Vital Core Application (IVC App),"Mindset Medical, Inc.",Cardiovascular,QME
11/18/2024,K241747,Saige-Dx,"DeepHealth, Inc",Radiology,QDQ
11/15/2024,K242130,Koios DS,"Koios Medical, Inc.",Radiology,POK
11/15/2024,K241439,VUNO Med-Chest X-ray Triage/VUNO Med-CXR Link Triage,Vuno Inc.,Radiology,QFM
11/15/2024,K242800,The 5000 Compact Series Ultrasound Systems,Philips Ultrasound LLC,Radiology,IYN
11/15/2024,K242062,1CMR Pro,Mycardium AI Limited,Radiology,LLZ
11/15/2024,K240860,EchoGo Amyloidosis (1.0),Ultromics Limited,Cardiovascular,SDJ
11/14/2024,K242342,Fetal EchoScan,BrightHeart,Radiology,POK
11/08/2024,K240417,ProFound Detection (V4.0),"iCAD, Inc.",Radiology,QDQ
11/07/2024,K241719,NeuroICH,Neurocareai Inc.,Radiology,QAS
11/07/2024,K240712,icobrain aria,icometrix NV,Radiology,QBS
11/05/2024,K241312,TeraRecon Cardiac.Chambers.MR (1.0.0),"TeraRecon,Inc.",Radiology,QIH
10/30/2024,K241108,RemedyLogic AI MRI Lumbar Spine Reader,Remedy Logic Inc.,Radiology,QIH
10/25/2024,K243189,TumorSight Viz,"SimBioSys, Inc.",Radiology,QIH
10/25/2024,K242215,Neurophet AQUA (V3.1),"Neurophet, Inc.",Radiology,QIH
10/22/2024,K243209,nordicMEDiVA,NordicNeurolab AS,Radiology,LLZ
10/18/2024,K241490,Contour+ (MVision AI Segmentation),MVision AI Oy,Radiology,QKB
10/18/2024,K242837,BriefCase-Triage,"Aidoc Medical, Ltd.",Radiology,QAS
10/17/2024,K241242,SIGNA MAGNUS,"GE Medical Systems, LLC",Radiology,LNH
10/17/2024,K240408,REMI-AI Rapid Detection Module (REMI-AI RDM),"Epitel, Inc",Neurology,OMB
10/16/2024,K241481,xvision Spine System,Augmedics Ltd.,Neurology,SBF
10/15/2024,K242781,cvi42 Software Application,Circle Cardiovascular Imaging Inc.,Radiology,QIH
10/11/2024,K241971,"HERA Z20, R20, HERA Z30, R30 Diagnostic Ultrasound System","Samsung Medison Co., Ltd.",Radiology,IYN
10/10/2024,K241430,EchoMeasure,iCardio.ai,Radiology,QIH
10/09/2024,K241837,Limbus Contour,Limbus AI Inc.,Radiology,QKB
10/07/2024,K240980,EPIQ Series Diagnostic Ultrasound System,Philips Ultrasound LLC,Radiology,IYN
10/07/2024,K241029,SpineUs System,Verdure Imaging,Radiology,IYO
10/04/2024,K242652,Lunit INSIGHT DBT v1.1,Lunit Inc.,Radiology,QDQ
10/04/2024,K241245,EchoSolv AS,Echo IQ Ltd,Radiology,POK
10/04/2024,K240553,LVivo Software Application,DiA Imaging Analysis Ltd.,Radiology,QIH
10/02/2024,K242005,Versana Premier; Versana Premier Lotus; LOGIQ F,GE Medical Systems Ultrasound and Primary Care Diagnostics,Radiology,IYN
10/02/2024,K241561,MammoScreen BD,Therapixel,Radiology,QIH
10/01/2024,K240943,LungVision,BodyVision Medical Ltd.,Radiology,QIH
10/01/2024,K241331,MuscleView,"Springbok, Inc.",Radiology,LNH
09/27/2024,K240993,encevis (2.1),AIT Austrian Institute of Technology GmbH,Neurology,OMB
09/27/2024,K240369,CAC (gated) Algorithm,BunkerHill Health,Radiology,JAK
09/27/2024,K241480,JBS-LVO,"JLK, Inc.",Radiology,QAS
09/24/2024,K242292,uAI Easy Triage ICH,"Shanghai United Imaging Intelligence Co., Ltd.",Radiology,QAS
09/23/2024,K240013,EchoGo Heart Failure (2.0),Ultromics Limited,Cardiovascular,QUO
09/23/2024,P140011/S008,MAMMOMAT B.brilliant with Tomosynthesis Option,"SIEMENS MEDICAL SOLUTIONS USA, INC.",Radiology,OTE
09/20/2024,K240036,PIUR tUS Infinity,PIUR Imaging GmbH,Radiology,QIH
09/13/2024,K240929,Sleep Apnea Notification Feature (SANF),Apple Inc.,Anesthesiology,QZW
09/12/2024,K241280,Constellation (CON-001),"Q Bio, Inc.",Radiology,QIH
09/12/2024,K240942,CINA-CSpine,Avicenna.AI,Radiology,QAS
09/12/2024,K241582,"Aplio i900/i800/i700 Diagnostic Ultrasound System, Software V7.0 (TUS-AI900, TUS-AI800, TUS-AI700)",Canon Medical Systems Corporation,Radiology,IYN
09/11/2024,K241380,FETOLY-HEART,Diagnoly,Radiology,IYN
09/10/2024,K240094,LumiNE US; Lumi,Augmedit B.V.,Radiology,QIH
09/09/2024,K240791,ADAS 3D,Adas3D Medical S.L,Radiology,QIH
09/09/2024,K241681,Overjet Image Enhancement Assist,Overjet Inc,Radiology,QIH
09/09/2024,K240697,"See-Mode Augmented Reporting Tool, Thyroid (SMART-T)",See-Mode Technologies Pte. Ltd.,Radiology,QDQ
09/06/2024,K240411,uAI Portal,"Shanghai United Imaging Intelligence Co., Ltd.",Radiology,QIH
09/05/2024,K233998,TRAQinform IQ,"AIQ Global, Inc.",Radiology,LLZ
09/04/2024,K233977,Velacur,Sonic Incytes,Radiology,IYO
08/30/2024,K240003,Velmeni for Dentists (V4D),Velmeni Inc.,Radiology,MYN
08/30/2024,K241847,Imbio PHA (4.0.0),"Imbio, Inc",Radiology,QIH
08/30/2024,K241585,uMI Panorama,"Shanghai United Imaging Healthcare Co.,Ltd.",Radiology,KPS
08/30/2024,K242300,MI View&GO,"Siemens Medical Solutions USA, Inc.",Radiology,QIH
08/30/2024,K242275,syngo.via MI Workflows; Scenium; syngo MBF,"Siemens Medical Solutions USA, Inc.",Radiology,QIH
08/29/2024,K233826,Kosmos,"EchoNous, Inc.",Radiology,IYN
08/27/2024,K241684,Overjet Charting Assist,"Overjet, Inc",Radiology,QIH
08/22/2024,K241098,NeuroQuant,"CorTechs Labs, Inc.",Radiology,QIH
08/21/2024,K240290,AiMIFY (1.x),"Subtle Medical, Inc.",Radiology,LLZ
08/20/2024,K241496,"Vantage Galan 3T, MRT-3020, V10.0 with AiCE Reconstruction Processing Unit for MR",Canon Medical Systems Corporation,Radiology,LNH
08/20/2024,K240200,HYDROS Robotic System; HYDROS TRUS Probe; HYDROS Handpiece,Procept BioRobotics,General and Plastic Surgery,PZP
08/19/2024,K241440,HealthCCSng,Nano-X AI Ltd.,Radiology,JAK
08/16/2024,K240740,qCT LN Quant,Qure.ai Technologies,Radiology,QIH
08/16/2024,K233755,HeartKey® Rhythm,B-Secur Limited,Cardiovascular,DQK
08/15/2024,K241596,uMI Panvivo,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,KPS
08/15/2024,K241211,CoLumbo,Smart Soft Healthcare,Radiology,QIH
08/13/2024,K241429,ECHELON Synergy MRI System,FUJIFILM Healthcare Corporation,Radiology,LNH
08/12/2024,K242054,OptimMRI (v2),"Rebrain, SAS",Radiology,QIH
08/08/2024,K233822,i2Contour,MRIMath LLC,Radiology,QIH
08/08/2024,K241665,Omni Legend,"GE Medical Systems Israel, Functional Imaging",Radiology,KPS
08/05/2024,K233992,Precision AI Surgical Planning System (PAI-SPS),Precision AI Pty Ltd,Orthopedic,QHE
08/05/2024,K240953,AI Platform 2.0 (AIP002),Exo Imaging,Radiology,QIH
08/02/2024,K233984,Acumen Assisted Fluid Management (AFM) Software Feature,"Edwards Lifesciences, LLC",Cardiovascular,QMS
08/01/2024,K234141,AISAP Cardio V1.0,Aisap,Radiology,POK
08/01/2024,K233731,CardIQ Suite,GE Medical Systems SCS,Radiology,JAK
08/01/2024,K240301,MammoScreen® (3),Therapixel,Radiology,QDQ
07/25/2024,K241887,GI Genius Module 100 (GGM100.US); GI Genius Module 200 (GGM200.US); ColonPRO 4.0 (CPRO40.US); GI Genius Module 300 (GGM300-US); ColonPRO 4.0 (CPRO40S-US),Cosmo Artificial Intelligence - AI Ltd,Gastroenterology-Urology,QNP
07/24/2024,K240044,CADDIE,Odin Medical Limited,Gastroenterology-Urology,QNP
07/22/2024,K240704,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System, ACUSON Origin ICE  Diagnostic Ultrasound System","Siemens Medical Solutions, USA, Inc.",Radiology,IYN
07/17/2024,K240845,Rayvolve,AZmed SAS,Radiology,QBS
07/17/2024,K241121,MICSI-RMT,"Microstructure Imaging, Inc.",Radiology,LLZ
07/16/2024,K240944,Swoop® Portable MR Imaging® System,"Hyperfine, Inc.",Radiology,LNH
07/15/2024,K240285,Huxley SANSA Home Sleep Apnea Test (1000-00),Huxley Medical,Anesthesiology,MNR
07/12/2024,K234009,Acorn 3D Software (AC-SEG-4009); Acorn 3DP Model (AC-101-XX),Mighty Oak Medical,Radiology,QIH
07/12/2024,K233457,RUS,Hutom Inc.,Radiology,QIH
07/12/2024,K241727,BriefCase-Triage,"Aidoc Medical, Ltd.",Radiology,QAS
07/11/2024,K241329,SubtleSYNTH (1.x),"Subtle Medical, Inc.",Radiology,QIH
07/03/2024,K241508,SKOUT® system,"Iterative Scopes, Inc.",Gastroenterology-Urology,QNP
07/02/2024,K240736,SMART Bun-Yo-Matic X-Ray,Disior Ltd,Radiology,QIH
07/02/2024,K240555,Tyto Insights for Crackles Detection,Tyto Care Ltd.,Anesthesiology,PHZ
07/01/2024,K240353,Hyper Insight - ICH,SK Inc.,Radiology,QAS
06/25/2024,K240582,VEA Align; spineEOS,EOS imaging,Radiology,QIH
06/21/2024,K233253,eCARTv5 Clinical Deterioration Suite (eCART),"AgileMD, Inc.",Cardiovascular,QNL
06/21/2024,K240631,"V8/XV8/XH8, V7/XV7/XH7, V6/XV6/XH6 Diagnostic Ultrasound System","Samsung Medison Co., Ltd.",Radiology,IYN
06/21/2024,K240465,O-arm O2 Imaging System,"Medtronic Navigation, Inc",Radiology,OWB
06/21/2024,K233196,Medihub Prostate,JLK Inc.,Radiology,QIH
06/21/2024,K233549,Tempus ECG-AF,"Tempus AI, Inc.",Cardiovascular,SBQ
06/20/2024,K240642,SMART Bun-Yo-Matic CT,Disior Ltd,Radiology,QIH
06/14/2024,K241083,SIS System,"Surgical Information Sciences, Inc.",Radiology,QIH
06/14/2024,K233955,Clarius OB AI,Clarius Mobile Health Corp.,Radiology,IYN
06/13/2024,K233662,Radiography 7300 C,Philips Medical Systems DMC GmbH,Radiology,KPR
06/13/2024,K233925,Relu Creator,Relu BV,Radiology,QIH
06/12/2024,K240516,RS85 Diagnostic Ultrasound System,"Samsung Medison Co., Ltd.",Radiology,IYN
06/07/2024,K232035,Impala,"AliveCor, Inc.",Cardiovascular,DPS
06/07/2024,K231010,Corvair,"AliveCor, Inc.",Cardiovascular,MHX
06/07/2024,K241038,Cardiac CT Function Software Application,Circle Cardiovascular Imaging,Radiology,QIH
06/07/2024,K234042,EFAI Bonesuite XR Bone Age Pro Assessment System (BAP-XR-100),"Ever Fortune.AI Co., Ltd.",Radiology,QIH
05/31/2024,K240612,CINA-VCF,Avicenna.AI,Radiology,QFM
05/24/2024,K234154,uPMR 790,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,OUO
05/24/2024,K240769,LVivo IQS,DiA Imaging Analysis Ltd.,Radiology,QIH
05/23/2024,K240294,Syngo Carbon Enterprise Access (VA40A),Siemens Healthcare GmbH,Radiology,LLZ
05/23/2024,K233108,VinDr-Mammo,VinBigData Joint Stock Company,Radiology,QFM
05/21/2024,K233543,YSIO X.pree,Siemens Medical Solutions,Radiology,KPR
05/17/2024,DEN230035,DentalMonitoring,Dental Monitoring SAS,Dental,SBC
05/17/2024,K233209,uOmnispace.CT,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,QIH
05/16/2024,K233625,RAYDENT SW,"RAY Co., Ltd.",Dental,PNN
05/15/2024,K233247,Heuron ICH,"Heuron Co., Ltd.",Radiology,QAS
05/15/2024,K241112,BriefCase-Quantification,"Aidoc Medical, Ltd.",Radiology,QIH
05/15/2024,DEN230043,Notal Vision Home Optical Coherence Tomography (OCT) System,Notal Vision Inc,Ophthalmic,SAX
05/10/2024,K232410,SmartChest,Milvue,Radiology,QFM
05/07/2024,K233864,ASSURE Wearable ECG,"Kestra Medical Technologies, Inc.",Cardiovascular,MWJ
05/07/2024,K232928,DeepContour (V1.0),"Wisdom Technologies., Inc.",Radiology,QKB
05/03/2024,K233687,ECHELON Synergy V10.0,Fujifilm Healthcare Americas Corporation,Radiology,LNH
05/03/2024,K232416,AUTION EYE AI-4510 Urine Particle Analysis System,Arkray Inc.,Hematology,LKM
05/03/2024,K232491,CT 5300,"Philips Healthcare (Suzhou) Co., Ltd.",Radiology,JAK
04/30/2024,K232923,Ethos Treatment Management (3.0); Ethos Treatment Planning (2.0),Varian Medical Systems Inc.,Radiology,IYE
04/29/2024,K240062,ARVIS® Shoulder,"Insight Medical Systems, Inc.",Neurology,OLO
04/26/2024,K232799,syngo.via RT Image Suite,"Siemens Medical Solutions USA, Inc.",Radiology,MUJ
04/26/2024,K240406,Sonio Detect,Sonio,Radiology,IYN
04/26/2024,K233673,uMR Jupiter,"Shanghai United Imaging Healthcare Co., Ltd",Radiology,LNH
04/25/2024,K232331,InVision Precision LVEF (LVEF),InVision Medical Technology Corporation,Radiology,QIH
04/24/2024,K240850,EPIQ Series Diagnostic Ultrasound Systems; Affiniti Series Diagnostic Ultrasound Systems,Philips Ultrasound LLC,Radiology,IYN
04/23/2024,K240058,AEYE-DS,AEYE Health Inc.,Ophthalmic,PIB
04/22/2024,K234068,ART-Plan (v.2.2.0),Therapanacea SAS,Radiology,MUJ
04/22/2024,K233582,Rapid,iSchema View Inc.,Radiology,LLZ
04/19/2024,K240781,SKOUT® system,"Iterative Scopes, Inc.",Gastroenterology-Urology,QNP
04/17/2024,K233186,uOmnispace.MR,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,QIH
04/15/2024,K240773,VisAble.IO,Techsomed,Radiology,QTZ
04/12/2024,K240238,"Vantage Fortian/Orian 1.5T, MRT-1550, V9.0 with AiCE Reconstruction Processing Unit for MR",Canon Medical Systems Corporation,Radiology,LNH
04/11/2024,K233698,True Enhance DL,GE Healthcare Japan Corporation,Radiology,JAK
04/10/2024,K240744,uMR 680,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,LNH
04/09/2024,DEN230023,Rho,16 Bit Inc,Radiology,SAO
04/08/2024,K240291,EFAI CARDIOSUITE CTA ACUTE AORTIC SYNDROME ASSESSMENT SYSTEM,"Ever Fortune.AI, Co., Ltd.",Radiology,QAS
04/05/2024,K233666,CorVista System with PH Add-On,"Analytics for Life, Inc.",Cardiovascular,SAT
04/05/2024,K233249,APPRAISE-HRI,"The Surgeon General, Department of the Army (TSG-DA)",Cardiovascular,SAR
04/04/2024,K240172,Preview Shoulder,Genesis Software Innovations,Radiology,QIH
04/03/2024,K232899,AI-Rad Companion Organs RT,Siemens Medical Solutions U.S.A.,Radiology,QKB
04/03/2024,K233618,Oxevision Sleep Device,Oxehealth Limited,Neurology,LEL
04/02/2024,DEN230036,Sepsis ImmunoScore,"Prenosis, Inc.",General Hospital,SAK
04/02/2024,K232835,Aquilion ONE (TSX-308A/3) V1.4 with PIQE Reconstruction System,Canon Medical Systems Corporation,Radiology,JAK
04/01/2024,K233676,Us2.v2,Eko.ai Pte. Ltd d/b/a Us2.ai,Radiology,QIH
03/29/2024,K233211,AVIEW CAC,"Coreline Soft Co., Ltd.",Radiology,QIH
03/28/2024,K233657,NAEOTOM Alpha,"Siemens Medical Solutions USA, Inc.",Radiology,JAK
03/28/2024,K233409,Eko Low Ejection Fraction Tool (ELEFT),"Eko Health, Inc.",Cardiovascular,QYE
03/26/2024,K233650,SOMATOM go.Up; SOMATOM go.Now; SOMATOM go.All; SOMATOM go.Top; SOMATOM go.Sim; SOMATOM go.Open Pro; SOMATOM X.cite; SOMATOM X.ceed,"Siemens Medical Solutions USA, Inc.",Radiology,JAK
03/22/2024,K232322,MAGNETOM Terra; MAGNETOM Terra.X,"Siemens Medical Solutions USA, Inc.",Radiology,LNH
03/22/2024,K232431,syngo.CT Brain Hemorrhage,"Siemens Medical Solutions USA, Inc.",Radiology,QAS
03/22/2024,K240540,uMR Omega,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,LNH
03/21/2024,K233753,AI-Rad Companion (Pulmonary),Siemens Healthcare GmbH,Radiology,JAK
03/20/2024,K234047,Automatic Registration,Brainlab AG,Neurology,OLO
03/15/2024,K233342,CINA-ASPECTS,Avicenna.AI,Radiology,POK
03/13/2024,K233968,CINA-iPE,Avicenna.AI,Radiology,QAS
03/11/2024,K232140,OTS Hip,Ortoma AB,Neurology,OLO
03/08/2024,K233438,SleepStageML,"Beacon Biosignals, Inc.",Neurology,OLZ
03/07/2024,K233692,"Voluson Signature 20, Voluson Signature 18","GE Medical Systems Ultrasound and Primary care Diagnostics,",Radiology,IYN
03/06/2024,K231677,EdgeFlow UH10,Edgecare Inc.,Radiology,IYO
03/04/2024,K233738,Overjet Caries Assist-Pediatric,"Overjet, Inc",Radiology,MYN
03/01/2024,K233030,BoneMRI,MRIguidance B.V,Radiology,QIH
03/01/2024,K231690,iCAS-LV,HighRAD Ltd.,Radiology,QIH
02/29/2024,K232765,MAGNETOM Cima.X Fit,"Siemens Medical Solutions USA, Inc.",Radiology,LNH
02/29/2024,K231683,inHEART Models,"inHEART, SAS",Radiology,QIH
02/28/2024,K232613,CT Cardiomegaly,"Innolitics, LLC",Radiology,QIH
02/23/2024,K233590,Overjet Charting Assist,"Overjet, Inc",Radiology,QIH
